id,title,primaryProductFamily,industry,scenario,searchIntent,targetKeywords,newsAngle,requiredSources,internalLinks,priority,similarityKey,status
"TOPIC-01","How Diesel Screw Air Compressors Support DTH Drilling in Remote Quarry Sites","Electric Screw Air Compressor (ZD10LG-8)","mining and quarrying","DTH drilling support","commercial investigation","diesel screw air compressor | DTH drilling air supply | remote quarry compressor","Research recent quarry and drilling mobilisation developments before drafting.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/compressed-air-equipment/air-zd10lg-8-122 | /news | /products | /request-a-quote","high","compressed-air-equipment:mining-and-quarrying:DTH-drilling-support","research-pending"
"TOPIC-02","How to Match Air Delivery and Pressure for Water-Well Drilling","Screw Air Compressor (ZD10LV-8)","water well drilling","air-rotary well drilling","informational","air delivery for water well drilling | working pressure | drilling compressor selection","Track water-well planning and drilling-method developments.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/compressed-air-equipment/air-zd10lv-8-123 | /news | /products | /request-a-quote","high","compressed-air-equipment:water-well-drilling:air-rotary-well-drilling","research-pending"
"TOPIC-03","Compressed-Air Leak Reviews for Industrial Workshops: What to Check First","Screw Air Compressor (ZD30)","manufacturing workshops","compressed-air distribution","informational","compressed air leaks | industrial air audit | air system pressure loss","Use recent industrial-energy reporting only when available.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/compressed-air-equipment/air-zd30-126 | /news | /products | /request-a-quote","high","compressed-air-equipment:manufacturing-workshops:compressed-air-distribution","research-pending"
"TOPIC-04","Portable vs Stationary Screw Air Compressors for Road Construction Crews","Electric Portable Screw Air Compressor (KYLC-18)","road construction","mobile pneumatic work","commercial investigation","portable screw air compressor | stationary compressor | road construction air supply","Link current construction activity to selection questions, not performance claims.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/compressed-air-equipment/air-kylc-18-129 | /news | /products | /request-a-quote","high","compressed-air-equipment:road-construction:mobile-pneumatic-work","research-pending"
"TOPIC-05","Air Quality and Condensate Management for Drilling and Pneumatic Tools","Electric Portable Screw Air Compressor (ZDY75D-7)","drilling","tool air treatment","informational","compressed air filtration | condensate management | pneumatic tool air quality","Prioritize standards or association guidance.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/compressed-air-equipment/air-zdy75d-7-130 | /news | /products | /request-a-quote","high","compressed-air-equipment:drilling:tool-air-treatment","research-pending"
"TOPIC-06","Selecting an Electric Screw Air Compressor for a Fixed Industrial Air System","Electric Portable Screw Air Compressor (ZDY90D-7)","manufacturing workshops","fixed compressed-air supply","commercial investigation","electric screw air compressor | industrial air system | air receiver selection","Use recent facility-energy or industrial-maintenance developments.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/compressed-air-equipment/air-zdy90d-7-131 | /news | /products | /request-a-quote","high","compressed-air-equipment:manufacturing-workshops:fixed-compressed-air-supply","research-pending"
"TOPIC-07","Generator Sizing Considerations for Temporary Construction Power","Silent Diesel Generator System (BF-150KVA)","construction sites","temporary distribution","commercial investigation","temporary construction generator | generator sizing | starting load","Relate recent worksite-power developments to sizing workflow.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/generator-systems/gen-bf-150kva-144 | /news | /products | /request-a-quote","high","generator-systems:construction-sites:temporary-distribution","research-pending"
"TOPIC-08","Prime Power vs Standby Power: Questions Buyers Should Resolve Before Selection","Silent Diesel Generator System (ZD-30)","remote infrastructure","duty classification","informational","prime power generator | standby generator | generator duty rating","Use recent resilience or infrastructure sources only where material.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/generator-systems/gen-zd-30-145 | /news | /products | /request-a-quote","high","generator-systems:remote-infrastructure:duty-classification","research-pending"
"TOPIC-09","Silent Diesel Generators for Remote Worksites: Installation and Service Planning","Silent Diesel Generator System (ZD-20)","remote mining operations","remote power support","commercial investigation","silent diesel generator | remote site power | generator service planning","Track logistics, power availability and site constraints.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/generator-systems/gen-zd-20-146 | /news | /products | /request-a-quote","high","generator-systems:remote-mining-operations:remote-power-support","research-pending"
"TOPIC-10","Open-Frame Generator Constraints for Project-Site Power Planning","Silent Diesel Generator System (ZD-1000)","construction sites","temporary outdoor power","informational","open frame diesel generator | construction power | generator ventilation","Use project and safety sources; no noise or output claims without evidence.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/generator-systems/gen-zd-1000-147 | /news | /products | /request-a-quote","high","generator-systems:construction-sites:temporary-outdoor-power","research-pending"
"TOPIC-11","Load Steps, Motor Starting and Generator Selection for Contractor Fleets","Diesel Generator System (ZD-80)","equipment rental","mixed motor loads","commercial investigation","generator load step | motor starting generator | rental generator selection","Use recent rental or construction power developments.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/generator-systems/gen-zd-80-148 | /news | /products | /request-a-quote","high","generator-systems:equipment-rental:mixed-motor-loads","research-pending"
"TOPIC-12","Fuel and Service Planning for Diesel Generator Use at Remote Sites","Diesel Mobile Generator System (UGT-1600)","remote infrastructure","off-grid temporary power","informational","diesel generator fuel planning | remote generator service | temporary power logistics","Tie news to operations planning, not supplier claims.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/generator-systems/gen-ugt-1600-170 | /news | /products | /request-a-quote","high","generator-systems:remote-infrastructure:off-grid-temporary-power","research-pending"
"TOPIC-13","Choosing a Water-Well Drilling Rig for Agricultural Irrigation Projects","Water-Well Drilling Rig (FY300)","agricultural irrigation","water-well construction","commercial investigation","water well drilling rig | irrigation well drilling | drilling depth selection","Monitor public water infrastructure and drilling-program announcements.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-equipment/rig-fy300-150 | /news | /products | /request-a-quote","medium","drilling-equipment:agricultural-irrigation:water-well-construction","research-pending"
"TOPIC-14","Air Drilling vs Mud Drilling for Water-Well Project Planning","Drilling Rig (FY680)","water well drilling","circulation method selection","informational","air drilling vs mud drilling | water well drilling method | drilling fluid planning","Use association and project sources to frame methods.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-equipment/rig-fy680-151 | /news | /products | /request-a-quote","medium","drilling-equipment:water-well-drilling:circulation-method-selection","research-pending"
"TOPIC-15","Crawler Drilling Rig Mobility: Terrain, Access and Setup Questions","Crawler Drilling Rig (HT500)","road and railway construction","site access","commercial investigation","crawler drilling rig | drilling rig terrain | site setup","Recent mobilisation announcements can provide context, not performance evidence.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-equipment/rig-ht500-152 | /news | /products | /request-a-quote","medium","drilling-equipment:road-and-railway-construction:site-access","research-pending"
"TOPIC-16","How Hole Diameter, Depth and Torque Shape Drilling-Rig Selection","Drilling Rig (KH103)","foundation and anchoring","bore design","informational","drilling rig torque | hole diameter drilling | drilling depth selection","Use technical sources and field-plan context.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-equipment/rig-kh103-153 | /news | /products | /request-a-quote","medium","drilling-equipment:foundation-and-anchoring:bore-design","research-pending"
"TOPIC-17","DTH Drilling Workflow for Quarry and Rock-Drilling Projects","DTH Crawler Drilling Rig (KH612)","mining and quarrying","production drilling","informational","DTH drilling workflow | quarry drilling rig | rock drilling planning","Use two independent recent drilling-program sources before drafting.","NEWS-ALIEN-2026-07-03 | NEWS-ADNOC-2026-06-25","/products/drilling-equipment/rig-kh612-154 | /news | /products | /request-a-quote","medium","drilling-equipment:mining-and-quarrying:production-drilling","research-ready"
"TOPIC-18","What a Phased Drilling Mobilisation Plan Should Include","DTH Drilling Rig (KH712)","mining exploration","access-cleared drilling","informational","drilling mobilisation plan | drill pad access | drilling project planning","Use recent listed-company drilling announcements as the news context.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-equipment/rig-kh712-155 | /news | /products | /request-a-quote","medium","drilling-equipment:mining-exploration:access-cleared-drilling","research-pending"
"TOPIC-19","DTH Hammer and Drill Bit Selection for Hard-Rock Drilling","Drilling Tool (YT24)","mining and quarrying","hard-rock DTH drilling","commercial investigation","DTH hammer selection | DTH drill bit | hard rock drilling tools","Pair current drilling-program context with approved technical references.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-consumables/tool-yt24-158 | /news | /products | /request-a-quote","medium","drilling-consumables:mining-and-quarrying:hard-rock-DTH-drilling","research-pending"
"TOPIC-20","Drill Pipe Matching for Air-Drilling and Water-Well Projects","Drilling Tool (Y24)","water well drilling","drill-string planning","informational","drill pipe selection | air drilling pipe | water well drill string","Track drilling project needs; do not claim compatibility without confirmation.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-consumables/tool-y24-159 | /news | /products | /request-a-quote","medium","drilling-consumables:water-well-drilling:drill-string-planning","research-pending"
